STATUS,DATA SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO,SIGLA
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,CUBA,F,1980.0,BARRACÃO,2018-06-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,CUBA,F,1990.0,SÃO JOSÉ DOS CAMPOS,2018-06-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,CHINA,F,1972.0,SÃO PAULO,2018-06-29,CN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1988.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,CHINA,F,1981.0,SÃO PAULO,2018-06-29,CN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1973.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1977.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1963.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,CUBA,F,2005.0,JOINVILLE,2018-06-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1977.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1978.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1979.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,ANGOLA,F,1992.0,SÃO PAULO,2018-06-29,AO
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2002.0,MANAUS,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1986.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1992.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1976.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1983.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1970.0,MANAUS,2018-06-29,VE
