STATUS;DATA SOLICITAÇÃO;PAÍS DE ORIGEM;GÊNERO;ANO DE NASCIMENTO;CIDADE SOLICITAÇÃO;DATA DA  DECISÃO
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;M;2003;SÃO PAULO;27/07/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;M;1999;BRASÍLIA;27/07/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1987;SÃO PAULO;30/10/2018
ELIGIBILIDADE - INDEFERIDO;2015;SENEGAL;F;1992;GUARUJÁ;30/10/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;JORDÂNIA;M;1967;FOZ DO IGUAÇU;30/10/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;SÍRIA;M;2006;BRASÍLIA;30/10/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1987;SÃO PAULO;29/11/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;ANGOLA;M;2007;BRASÍLIA;29/11/2018
ELIGIBILIDADE - INDEFERIDO;2015;SENEGAL;M;1988;SÃO PAULO;29/11/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;HAITI;M;1991;SÃO PAULO;29/11/2018
ELIGIBILIDADE - INDEFERIDO;2014;ANGOLA;M;1992;SÃO PAULO;20/12/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;ANGOLA;M;1988;SÃO PAULO;20/12/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;PAQUISTÃO;M;1987;BRASÍLIA;20/12/2018
ELIGIBILIDADE - INDEFERIDO;2014;LÍBANO;M;1967;GUARUJÁ;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;PALESTINA;M;1995;SÃO PAULO;28/09/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;REP. DEM. DO CONGO;M;1992;SÃO PAULO;28/09/2018
PERDA DA CONDIÇÃO DE REFUGIADO;2015;SÍRIA;M;1955;SÃO PAULO;28/09/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;HAITI;M;1973;UBERLÂNDIA;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;PALESTINA;M;1979;FOZ DO IGUAÇU;29/06/2018
ELIGIBILIDADE - DEFERIDO;2015;ANGOLA;F;1988;SÃO PAULO;25/05/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2016;REP. DEM. DO CONGO;M;1999;RIO DE JANEIRO;25/05/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;M;2006;BRASÍLIA;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;TURQUIA;F;1981;SÃO PAULO;27/04/2018
ELIGIBILIDADE - DEFERIDO;2014;EGITO;M;1955;SÃO PAULO;29/06/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1978;SÃO PAULO;21/02/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;M;1999;BRASÍLIA;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2014;MALI;M;1985;SÃO PAULO;26/01/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;NEPAL;F;1994;SÃO PAULO;27/04/2018
ELIGIBILIDADE - INDEFERIDO;2016;QUÊNIA;M;1992;SÃO PAULO;25/05/2018
CESSAÇÃO;2018;ARGENTINA;F;n/a;BRASÍLIA;25/05/2018
ELIGIBILIDADE - INDEFERIDO;2015;BANGLADESH;M;1992;PACARAÍMA;21/02/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1960;BELO HORIZONTE;26/01/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;2010;SÃO PAULO;27/04/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1968;SÃO PAULO;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;PAQUISTÃO;M;1990;BRASÍLIA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2012;SENEGAL;M;1975;RIO DE JANEIRO;27/04/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1984;SÃO PAULO;30/03/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;2004;BRASÍLIA;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;SÍRIA;F;1979;NATAL;25/05/2018
ELIGIBILIDADE - INDEFERIDO;2015;ARMÊNIA;M;1995;SÃO SEBASTIÃO;29/06/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;REP. DEM. DO CONGO;M;2012;BRASÍLIA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;F;2013;SÃO PAULO;27/07/2018
